LF0,LF1,LF2,LF3,LF4,LF5,LF6,LF7
2.3514485,0.0,8.249456,11.640299,13.957894,5.1819406,3.2982724,0.0
3.2799542,0.0,8.082181,9.663338000000001,13.407554000000001,3.7491608,4.186642,0.0
2.8219627999999997,0.0,8.911029,5.2160269999999995,11.256888,2.3505657,3.7940466,0.0
4.6582235999999995,0.0,8.057762,7.9681277,14.47535,4.29775,7.5006905,0.0
3.3651016000000005,1.734953,3.322138,2.348884,5.617744,2.3628798,2.5616426,0.0
5.138443,0.0,7.8145923999999996,5.739081400000001,16.87789,2.7320616,6.6851783,0.0
2.2155228,0.0,8.124148,9.630405999999999,18.83618,3.8448480000000003,9.945852,0.0
2.0569465,0.0,2.217821,5.3337283,7.8592052,1.9634957,5.331148000000001,0.0
0.0,1.1143326,4.441948,5.9171615,7.682794,3.6857529,0.8980768,0.0
4.839558,0.16480692,1.428092,5.886222,6.077268,3.1745740000000002,4.1749997,0.0
3.8727991999999998,2.3756623,0.7050811,1.9513443,7.556108500000001,3.9851875,1.8881763999999999,0.0
1.6243755,2.0166454,1.7369686000000002,3.776953,8.294513,5.6340847,0.11557777,0.0
2.0730968,0.49634936,5.0286827,2.221572,5.576243,0.9170716999999998,2.5737746,0.0
2.5108992999999997,0.0,3.2550638,3.9429862,10.497027000000001,1.8415588999999999,5.5888395,0.0
5.4766164,0.0,5.022175,7.147648299999999,15.126971,3.3767467000000004,7.7789216,0.0
2.646236,0.0,4.8903623,6.008523,10.653311,4.4621580000000005,1.9144528000000003,0.0
5.986552,0.0,5.1505866,2.9912307,12.25265,3.041114,6.5114,0.0
2.2231436,0.120753214,6.046239,8.767732,10.964677,2.520775,0.46653459999999997,0.0
0.0,0.43659204,2.659812,6.3586926,12.047092999999998,3.6293227999999997,1.6800956000000002,0.0
1.5103947,0.0,3.7462318,4.7025924,9.505786,2.8827467,2.5472417000000003,0.0
4.5927940000000005,0.0,6.198036699999999,5.4733615,12.631279,3.1360189999999997,7.3533893,0.0
1.5880338999999999,0.0,4.624925599999999,7.356843,13.756843,3.0616512000000005,7.3753114,0.0
1.0916008,7.90101,0.0,1.4958329,4.7101607,6.1317863,0.74980587,0.0
2.4692261,0.799521,0.67036206,3.7049687000000007,5.206529,2.256455,3.9555979,0.0
3.5665035000000005,2.4757655,2.986051,1.2696617000000001,4.555802,1.890975,3.2239463,0.0
1.1209354,3.1870312999999997,2.6231673,4.4342184,6.7139897,3.0743183999999997,1.3451973,0.0
3.0062714,0.0,10.082403999999999,10.756993,15.367892999999999,3.0278087000000005,7.4526944,0.0
3.016505,0.0,2.4968052000000003,4.261067,7.4765676999999995,3.3123817000000004,3.6447241000000004,0.0
8.781618,0.0,4.1437364,3.025492,12.946723,4.0694475,6.821822999999999,0.0
2.3026762,0.0,10.756581,8.981034,13.278129000000002,3.4926866999999997,6.702652499999999,0.0
4.939306,0.0,5.007512999999999,5.752432,11.026117999999999,2.4038603,6.963880499999999,0.0
6.4863800000000005,0.0,6.2140193,4.0019174,11.217299,3.0059686,1.8944078999999998,0.0
5.0539565,0.0,6.7191095,11.709660000000001,13.551972,2.8654902,3.7295239999999996,0.0
3.2287157000000004,12.350063,0.22148247,4.289740599999999,0.55843604,7.810995599999999,2.407448,0.0
5.140374700000001,0.0,5.511299,6.7145004,18.273907,4.6577910000000005,7.8775334,0.0
2.9465144,0.0,8.27898,9.949587,16.114191,3.2121747000000003,9.047343,0.0
4.7736089999999995,0.0,3.539017,2.589808,7.043969000000001,2.9046068,3.7970529,0.0
5.515197799999999,0.0,6.7002783,8.30995,16.626867,4.8643007,7.558860000000001,0.0
0.0,1.0105098,3.1060135,2.1237922,7.467708999999999,1.9034634999999998,2.6824107,0.0
1.1298639,0.0,2.6688009999999998,4.6532599999999995,9.940458999999999,3.15245,4.436153400000001,0.0
0.9770459999999999,0.60330087,0.89385056,3.3427536,7.151358999999999,1.6991236,3.0440364,0.0
4.871442299999999,1.1218313,5.9824047,0.31071529999999997,8.262509,1.8318566000000003,3.283414,0.0
6.735597,0.0,9.132905000000001,8.559713,8.305351,4.085449,4.835810700000001,0.0
0.0,2.5512002000000003,3.4704971,1.9893558,8.828173,1.6889603,2.2169404,0.0
3.3256211,0.0,7.7157345,10.087337,12.434967,2.9372957000000004,9.133016,0.0
2.4443192000000002,1.9515629,5.1149225,4.212517299999999,4.9115577,0.71155226,1.2819052,0.0
2.4395154,0.0,9.50801,8.934698,15.875813500000001,2.6087632000000003,8.817508,0.0
2.110447,0.0,8.679313,12.027427000000001,13.122619,4.573208999999999,2.8731725,0.0
2.8852057,0.0,8.575130999999999,11.451075,14.628549,3.5165544,5.0678773,0.0
3.4267406000000005,0.0,5.414521700000001,6.132130999999999,12.949077,2.0563877,8.050117,0.0
3.5775978999999998,0.0,4.794091000000001,7.184197,12.079522,3.6017422999999997,5.440360500000001,0.0
5.1080365,0.0,6.5339599999999995,9.372615,10.751144,2.538993,7.3036637,0.0
3.1784675,0.0,6.0341845,9.243921,19.076485,4.2745676,10.545589999999999,0.0
1.399889,1.0882597,3.7717402,7.0115604000000005,6.9425936,1.9282601000000001,1.8325118999999999,0.0
6.7664933000000005,0.0,6.739053,4.3072877,9.923333999999999,2.1204054,6.899672,0.0
6.754261,0.0,8.36403,6.8278155,13.495501500000001,1.8233941999999999,5.058403500000001,0.0
3.7221222000000003,0.0,7.846004499999999,8.081291,17.160013,4.224098000000001,8.394083,0.0
2.2915623,0.0,10.499082000000001,9.3641205,15.077257999999999,3.94106,9.112503,0.0
4.5574129999999995,0.0,5.975953,4.8849540000000005,12.523944,2.9683080000000004,7.26203,0.0
4.4234195,2.5880134,2.7762472999999996,0.004480915,5.982603500000001,0.61852914,1.4767976,0.0
3.0739336,0.24783249,1.9551374,4.8735669999999995,10.455256,4.2918367,0.39988458,0.0
4.504147,0.0,6.425362000000001,9.466515,15.894626,4.1214547,7.587148,0.0
3.433726,0.0,7.11666,8.502011999999999,15.363719,2.0796242,7.1902384999999995,0.0
5.6470428,0.0,8.926691,9.279861,12.360337,4.674112,3.999779,0.0
2.3599033,0.0,6.8343305999999995,7.548708400000001,13.333753,3.4303962999999995,4.443936,0.0
5.0403023000000005,0.0,3.7329093999999996,4.7475805,13.202233999999999,1.8243832999999998,6.055392299999999,0.0
6.589989,0.0,6.53099,6.328197,16.116535,2.2147229999999998,6.7699547,0.0
2.009969,0.0,7.706582000000001,8.821453,11.925152,0.79287094,5.74431,0.0
5.6716695,0.0,7.116086,9.820088,12.928275,2.8688004,5.4218519999999994,0.0
2.4803276000000003,0.0,6.0169106,8.225883999999999,15.167325,2.3787677000000005,6.2804127,0.0
4.9754879999999995,0.0,7.4261737000000005,5.2372828,16.257765,2.0189114,6.753738,0.0
3.6869332999999997,0.0,7.4532924,12.151922,12.776969,5.3991976,5.2982955,0.0
0.0,3.9321617999999994,6.3793526,0.70889145,3.7885091,0.44275656,0.5510823,0.0
3.8282008000000003,0.0,7.197823,7.036861999999999,13.758655,1.9715158,1.2757228999999999,0.0
4.904128,0.0,8.358426,7.72018,15.630324,4.202421,8.760729,0.0
2.6322122,0.0,7.0962725,6.046906,12.211414999999999,2.7849472,4.0129457,0.0
3.6179729,0.0,7.509832,7.240005,13.860929,1.9596893,7.160095699999999,0.0
3.3092699999999997,0.0,4.4649790000000005,3.4821246,10.97414,3.2985811000000003,4.8327265,0.0
2.174892,0.9994126,5.5290165,2.2072990000000003,6.4447317,0.7252149999999999,2.014257,0.0
9.077719,0.0,4.562289700000001,4.097834,15.699863,3.9634093999999997,6.283289,0.0
4.374201,0.0,5.601839,5.6104364,5.547410500000001,2.7020817000000004,3.611532,0.0
1.9905049,0.0,1.2169226,5.727653,12.827608999999999,2.941711,5.6431546,0.0
4.565619,1.7426982,4.119054,4.0074440000000005,5.555114700000001,4.323539,0.11645372,0.0
7.3137726999999995,0.0,5.0139008,2.6940162,14.923179000000001,3.425815,5.649547,0.0
5.6050496,0.0,6.154514,3.066826,13.464579999999998,3.1806520000000003,6.217069,0.0
4.972783,0.0,4.3036346,2.8803263,15.454057999999998,5.983553,1.331715,0.0
2.9406432999999996,2.630179,4.8842669999999995,4.0563044999999995,5.616475599999999,3.9466137999999997,0.27869862,0.0
1.0233734,0.5898276,4.088113,1.7269385,6.793798,1.5255246999999998,1.1804143999999999,0.0
5.044887,0.0,6.242159,6.0310016,9.54231,2.8481276,2.6375667999999997,0.0
6.880349000000001,0.0,4.710440599999999,6.928412,12.168178,4.018221,4.3034987000000005,0.0
3.0186443,0.0,6.137091000000001,9.617621,14.43702,1.8142668999999998,8.603953,0.0
2.6993597,0.0,6.639932000000001,7.965566,14.347871,3.2705116000000003,5.6429563,0.0
2.7335958,0.0,4.813644999999999,8.432207,12.997228,1.2839696000000003,8.186491,0.0
0.33496404,3.6636992,6.660897,2.0694494,2.5289132999999997,0.0,0.36302716,0.0
1.6658821,0.0,9.617887,8.362206,10.408281,3.5685860000000003,0.99610925,0.0
2.0305586,0.0,5.6252017,9.741050999999999,17.102729999999998,3.334439,9.176992,0.0
5.1454124000000006,0.0,4.2422667,4.2786406999999995,16.27851,2.6777225,3.454167,0.0
0.5802683000000001,0.48167685,6.333285299999999,3.5434754,5.3641763,3.2075944,0.30414759999999996,0.0
0.82505256,6.229480000000001,3.665887,2.4452583999999997,3.611954,5.1108055,0.0,0.0
8.13603,0.0,7.922577,5.7271843,15.819278,3.3218973,6.798642,0.0
3.8887267,0.0,8.043523,8.778293,13.347398000000002,2.7617497,8.977721,0.0
3.4578792999999997,0.0,4.104262,4.1027627,10.956934,3.4164792999999998,3.596115,0.0
4.7124866999999995,0.0,6.263437000000001,10.198131,18.240745999999998,3.494996,9.258109,0.0
1.8911798999999998,0.0,8.276761,9.451136,17.81502,2.0226285,8.037467999999999,0.0
3.319757,0.0,5.564888,7.627772,16.015554,4.648817500000001,7.857419999999999,0.0
