"sample","color_by","shape_by","observed","x","y"
"129","1","1","TRUE",11.7486859951308,11.7319398689753
"13","1","1","TRUE",6.38029840206733,-11.671710357971
"132","1","1","TRUE",-1.53940013562934,16.1415062466793
"133","1","1","TRUE",-5.88276640116948,-4.75238921155574
"135","1","1","TRUE",-10.1390275245567,-12.7005423647032
"136","1","1","TRUE",8.90101369841931,-4.21665761159451
"137","1","1","TRUE",-3.24677812280573,2.30239700090106
"138","1","1","TRUE",4.66256688470759,20.6967449850651
"139","1","1","TRUE",10.3403026840068,-1.02194244046836
"140","1","1","TRUE",-9.68111199974861,14.5334335007637
"141","1","1","TRUE",-13.98055343649,-7.88517106516622
"142","1","1","TRUE",2.39164414636429,-11.7107964255747
"143","1","1","TRUE",4.05331627859687,-16.4732737086404
"144","1","1","TRUE",-3.09633593279068,-2.0278300634938
"146","1","1","TRUE",7.501939089978,-7.2562062729379
"147","1","1","TRUE",3.8514391318819,1.28898311568815
"149","1","1","TRUE",-7.17647920278683,2.21262585158185
"15","1","1","TRUE",-3.43057947046169,0.620007864283006
"150","1","1","TRUE",-3.22494677897973,-10.1794436834461
"151","1","1","TRUE",-3.85333751642595,-1.93053036133497
"153","1","1","TRUE",3.60025323960498,-2.76024174838188
"157","1","1","TRUE",5.23555904227257,-0.406357203454209
"158","1","1","TRUE",-2.1682490326829,-10.5705487932385
"16","1","1","TRUE",-0.890115251907403,1.52394254385437
"160","1","1","TRUE",5.84636870573423,-11.456503162707
"161","1","1","TRUE",2.38355918092113,20.8786109209869
"166","1","1","TRUE",-1.70251889898382,2.98921368647663
"168","1","1","TRUE",0.586702112101725,7.84466637013157
"17","1","1","TRUE",14.3906310639602,-0.720374920035987
"170","1","1","TRUE",0.280312478410988,-9.00724439433122
"171","1","1","TRUE",2.10534116869171,3.55334376749943
"172","1","1","TRUE",8.0911691812639,-5.55572874508895
"173","1","1","TRUE",-1.93095979889517,2.60990295069429
"175","1","1","TRUE",-3.88334555165969,3.60958601373108
"178","1","1","TRUE",-12.7177531309535,-7.44565204065065
"18","1","1","TRUE",7.79796078894844,0.768045450802
"181","1","1","TRUE",2.45088621332995,5.12864905387918
"182","1","1","TRUE",-3.02345132155893,-2.30760204075902
"183","1","1","TRUE",-7.26222613597783,-13.7007073551524
"186","1","1","TRUE",1.23854903135262,11.4050986128875
"187","1","1","TRUE",-5.40931953238281,-17.4846248712074
"188","1","1","TRUE",3.72092577165083,-14.5490266668362
"19","1","1","TRUE",-11.5008120115617,-0.957997594581507
"190","1","1","TRUE",-3.66549889621491,0.742364949828614
"193","1","1","TRUE",-3.76895665665833,-14.3253596337166
"194","1","1","TRUE",5.23470117194668,5.5005915653376
"195","1","1","TRUE",6.69987338505206,9.35305889057331
"197","1","1","TRUE",-11.8201987341529,2.13001380377456
"199","1","1","TRUE",-9.5224341931972,-14.4805114157665
"2","1","1","TRUE",-7.13969926184698,-7.87103733760473
